year,origin,dest_state,dest_city,arrivals
2005,Afghanistan,Alabama,Mobile,0
2006,Afghanistan,Alabama,Mobile,0
2007,Afghanistan,Alabama,Mobile,0
2008,Afghanistan,Alabama,Mobile,0
2009,Afghanistan,Alabama,Mobile,5
2010,Afghanistan,Alabama,Mobile,8
2011,Afghanistan,Alabama,Mobile,5
2012,Afghanistan,Alabama,Mobile,7
2013,Afghanistan,Alabama,Mobile,9
2014,Afghanistan,Alabama,Mobile,1
2015,Afghanistan,Alabama,Mobile,0
2005,Burma,Alabama,Auburn,0
2006,Burma,Alabama,Auburn,0
2007,Burma,Alabama,Auburn,0
2008,Burma,Alabama,Auburn,0
2009,Burma,Alabama,Auburn,0
2010,Burma,Alabama,Auburn,0
2011,Burma,Alabama,Auburn,1
2012,Burma,Alabama,Auburn,0
2013,Burma,Alabama,Auburn,0
2014,Burma,Alabama,Auburn,0
2015,Burma,Alabama,Auburn,0
2005,Burma,Alabama,Birmingham,0
2006,Burma,Alabama,Birmingham,0
2007,Burma,Alabama,Birmingham,0
2008,Burma,Alabama,Birmingham,2
2009,Burma,Alabama,Birmingham,0
2010,Burma,Alabama,Birmingham,0
2011,Burma,Alabama,Birmingham,1
2012,Burma,Alabama,Birmingham,0
2013,Burma,Alabama,Birmingham,0
2014,Burma,Alabama,Birmingham,0
2015,Burma,Alabama,Birmingham,1
2005,Burma,Alabama,Dothan,0
2006,Burma,Alabama,Dothan,0
2007,Burma,Alabama,Dothan,0
2008,Burma,Alabama,Dothan,2
2009,Burma,Alabama,Dothan,1
2010,Burma,Alabama,Dothan,0
2011,Burma,Alabama,Dothan,0
2012,Burma,Alabama,Dothan,0
2013,Burma,Alabama,Dothan,0
2014,Burma,Alabama,Dothan,0
2015,Burma,Alabama,Dothan,0
2005,Burma,Alabama,Mobile,0
2006,Burma,Alabama,Mobile,0
2007,Burma,Alabama,Mobile,6
2008,Burma,Alabama,Mobile,0
2009,Burma,Alabama,Mobile,0
2010,Burma,Alabama,Mobile,0
2011,Burma,Alabama,Mobile,1
2012,Burma,Alabama,Mobile,15
2013,Burma,Alabama,Mobile,7
2014,Burma,Alabama,Mobile,14
2015,Burma,Alabama,Mobile,13
2005,Burma,Alabama,Montgomery,0
2006,Burma,Alabama,Montgomery,0
2007,Burma,Alabama,Montgomery,1
2008,Burma,Alabama,Montgomery,0
2009,Burma,Alabama,Montgomery,0
2010,Burma,Alabama,Montgomery,0
2011,Burma,Alabama,Montgomery,0
2012,Burma,Alabama,Montgomery,0
2013,Burma,Alabama,Montgomery,0
2014,Burma,Alabama,Montgomery,0
2015,Burma,Alabama,Montgomery,0
2005,Burundi,Alabama,Mobile,0
2006,Burundi,Alabama,Mobile,0
2007,Burundi,Alabama,Mobile,40
2008,Burundi,Alabama,Mobile,1
2009,Burundi,Alabama,Mobile,8
2010,Burundi,Alabama,Mobile,1
