textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Atheist,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Atheist,6,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Atheist,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Atheist,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Atheist,1,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Atheist,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Atheist,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Atheist,6,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Atheist,1,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Atheist,6,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Atheist,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Bahai,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Bahai,1,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Bahai,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Bahai,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Bahai,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Bahai,8,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Bahai,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Bahai,4,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Bahai,2,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Bahai,1,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Bahai,5,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Baptist,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Baptist,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Baptist,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Baptist,1,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Baptist,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Baptist,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Baptist,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Baptist,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Baptist,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Baptist,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Baptist,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Catholic,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Catholic,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Catholic,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Catholic,1,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Catholic,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Catholic,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Catholic,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Catholic,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Catholic,4,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Catholic,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Catholic,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Christian,5,"51,902"
