state,pop_est_2014
Alabama,4849377
Alaska,736732
Arizona,6731484
Arkansas,2966369
California,38802500
Colorado,5355866
Connecticut,3596677
Delaware,935614
District of Columbia,658893
Florida,19893297
Georgia,10097343
Hawaii,1419561
Idaho,1634464
Illinois,12880580
Indiana,6596855
Iowa,3107126
Kansas,2904021
Kentucky,4413457
Louisiana,4649676
Maine,1330089
Maryland,5976407
Massachusetts,6745408
Michigan,9909877
Minnesota,5457173
Mississippi,2994079
Missouri,6063589
Montana,1023579
Nebraska,1881503
Nevada,2839099
New Hampshire,1326813
New Jersey,8938175
New Mexico,2085572
New York,19746227
North Carolina,9943964
North Dakota,739482
Ohio,11594163
Oklahoma,3878051
Oregon,3970239
Pennsylvania,12787209
Rhode Island,1055173
South Carolina,4832482
South Dakota,853175
Tennessee,6549352
Texas,26956958
Utah,2942902
Vermont,626562
Virginia,8326289
Washington,7061530
West Virginia,1850326
Wisconsin,5757564
Wyoming,584153
